Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
C,97798,Sittasomus griseicapillus,J,U,24/07/2021,,,BOA,C
C,97799,Neopelma chrysolophum,A,U,28/08/2021,,,BOA,C
C,80003,Ilicura militaris,A,F,28/08/2021,,,BOA,C
C,80004,Myiothlypis leucoblephara,A,U,29/08/2021,,,BOA,C
C,80005,Mionectes rufiventris,A,U,29/08/2021,,,BOA,C
C,80006,Myiobius atricaudus,J,U,29/08/2021,,,BOA,C
C,80007,Leptopogon amaurocephalus,A,U,29/08/2021,,,BOA,C
C,80008,Ilicura militaris,A,M,29/08/2021,,,BOA,C
C,80009,Neopelma chrysolophum,A,U,29/08/2021,,,BOA,C
C,80010,Mionectes rufiventris,A,U,10/09/2021,,,BOA,C
C,80012,Neopelma chrysolophum,A,U,22/09/2021,,,BOA,C
C,80013,Basileuterus culicivorus,A,U,22/09/2021,,,BOA,C
C,80015,Phyllomyias virescens,J,F,22/09/2021,,,BOA,C
C,80017,Neopelma chrysolophum,J,U,23/09/2021,,,BOA,C
C,80018,Neopelma chrysolophum,A,U,23/09/2021,,,BOA,C
C,80019,Ilicura militaris,A,F,23/09/2021,,,BOA,C
C,80020,Platyrinchus mystaceus,J,M,23/10/2021,,,BOA,C
C,80021,Platyrinchus mystaceus,J,M,23/10/2021,,,BOA,C
C,80023,Ilicura militaris,A,F,23/10/2021,,,BOA,C
C,80024,Lathrotriccus euleri,J,M,23/10/2021,,,BOA,C
C,80025,Sittasomus griseicapillus,J,M,23/10/2021,,,BOA,C
C,80026,Tolmomyias sulphurescens,J,F,23/10/2021,,,BOA,C
C,80028,Basileuterus culicivorus,A,U,24/10/2021,,,BOA,C
C,80029,Dysithamnus mentalis,A,F,16/11/2021,,,BOA,C
C,80030,Dysithamnus mentalis,A,F,16/11/2021,,,BOA,C
C,80031,Neopelma chrysolophum,A,U,16/11/2021,,,BOA,C
C,80032,Leptopogon amaurocephalus,A,U,17/11/2021,,,BOA,C
C,80033,Leptopogon amaurocephalus,J,U,17/11/2021,,,BOA,C
C,80034,Sittasomus griseicapillus,J,U,18/12/2021,,,BOA,C
C,80035,Sittasomus griseicapillus,J,U,18/12/2021,,,BOA,C
C,80036,Lathrotriccus euleri,J,F,18/12/2021,,,BOA,C
C,80037,Chlorophonia cyanea,A,F,25/01/2022,,,BOA,C
C,80038,Neopelma chrysolophum,A,F,09/02/2022,,,BOA,C
C,80039,Platyrinchus mystaceus,A,U,09/02/2022,,,BOA,C
C,80040,Poecilotriccus plumbeiceps,J,U,11/02/2022,,,BOA,C
C,80041,Neopelma chrysolophum,J,U,26/02/2022,,,BOA,C
C,80043,Neopelma chrysolophum,J,U,26/02/2022,,,BOA,C
C,80044,Neopelma chrysolophum,J,U,26/02/2022,,,BOA,C
C,80045,Basileuterus culicivorus,J,U,26/02/2022,,,BOA,C
C,80047,Ilicura militaris,J,F,27/02/2022,,,BOA,C
C,80048,Poecilotriccus plumbeiceps,J,U,27/02/2022,,,BOA,C
C,80046,Basileuterus culicivorus,J,U,27/02/2022,,,BOA,C
C,80042,Mionectes rufiventris,J,U,26/02/2022,,,BOA,C
C,80049,Basileuterus culicivorus,A,U,04/03/2022,,,BOA,C
C,80050,Basileuterus culicivorus,A,U,04/03/2022,,,BOA,C
C,110618,Sittasomus griseicapillus,J,U,29/04/2023,,,BOA,C
C,110619,Ilicura militaris,J,U,03/05/2023,,,BOA,C
C,110620,Neopelma chrysolophum,J,U,04/05/2023,,,BOA,C
C,110622,Mionectes rufiventris,D,U,04/05/2023,,,BOA,C
C,110622,Sittasomus griseicapillus,J,U,03/06/2023,,,BOA,C
C,110623,Ilicura militaris,J,U,03/06/2023,,,BOA,C
C,110624,Ilicura militaris,A,F,08/06/2023,,,BOA,C
C,110629,Leptopogon amaurocephalus,A,U,27/06/2023,,,BOA,C
C,110624,Poecilotriccus plumbeiceps,J,U,27/06/2023,,,BOA,C
C,110626,Phylloscartes ventralis,A,U,27/06/2023,,,BOA,C
C,110627,Neopelma chrysolophum,A,U,27/06/2023,,,BOA,C
C,110628,Haplospiza unicolor,A,F,27/06/2023,,,BOA,C
C,110630,Basileuterus culicivorus,J,U,28/06/2023,,,BOA,C
C,110631,Leptopogon amaurocephalus,A,U,11/07/2023,,,BOA,C
C,110632,Ilicura militaris,J,M,12/07/2023,,,BOA,C
C,70230,Sittasomus griseicapillus,J,U,27/03/2020,,,BOA,C
C,70232,Elaenia mesoleuca,J,U,13/04/2020,,,BOA,C
C,70233,Ilicura militaris,A,F,13/04/2020,,,BOA,C
C,70234,Ilicura militaris,D,F,14/04/2020,,,BOA,C
C,70235,Platyrinchus mystaceus,A,M,14/04/2020,,,BOA,C
C,70237,Poecilotriccus plumbeiceps,J,U,14/04/2020,,,BOA,C
C,70238,Sittasomus griseicapillus,J,U,14/04/2020,,,BOA,C
