Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
D,172188,Neopelma chrysolophum,A,U,25/04/2021,,,BOA,D
D,100851,Dysithamnus mentalis,A,M,02/06/2022,,,BOA,D
D,100852,Basileuterus culicivorus,A,U,02/06/2022,,,BOA,D
D,100853,Xenops rutilans,J,U,02/06/2022,,,BOA,D
D,169803,Neopelma chrysolophum,A,U,27/04/2023,,,BOA,D
D,169804,Neopelma chrysolophum,J,U,28/04/2023,,,BOA,D
D,169805,Neopelma chrysolophum,J,U,28/04/2023,,,BOA,D
D,169806,Synallaxis ruficapilla,J,U,29/04/2023,,,BOA,D
D,169807,Corythopis delalandi,J,U,29/04/2023,,,BOA,D
D,169808,Sittasomus griseicapillus,J,U,29/04/2023,,,BOA,D
D,169809,Sittasomus griseicapillus,J,U,29/04/2023,,,BOA,D
D,169810,Leptopogon amaurocephalus,J,U,29/04/2023,,,BOA,D
D,169811,Neopelma chrysolophum,A,U,03/05/2023,,,BOA,D
D,169812,Xiphorhynchus fuscus,J,U,04/05/2023,,,BOA,D
D,169813,Myiothlypis leucoblephara,J,U,06/05/2023,,,BOA,D
D,169814,Neopelma chrysolophum,J,U,06/05/2023,,,BOA,D
D,169815,Ilicura militaris,A,F,06/05/2023,,,BOA,D
D,169816,Synallaxis ruficapilla,J,U,13/05/2023,,,BOA,D
D,169817,Rhopias gularis,J,U,13/05/2023,,,BOA,D
D,169818,Dysithamnus mentalis,J,M,13/05/2023,,,BOA,D
D,169819,Neopelma chrysolophum,J,U,24/05/2023,,,BOA,D
D,169820,Neopelma chrysolophum,J,U,24/05/2023,,,BOA,D
D,169821,Ilicura militaris,J,U,24/05/2023,,,BOA,D
D,169822,Myiothlypis leucoblephara,J,U,02/06/2023,,,BOA,D
D,169823,Basileuterus culicivorus,J,U,02/06/2023,,,BOA,D
D,169824,Conopophaga lineata,J,U,05/06/2023,,,BOA,D
D,169825,Dysithamnus mentalis,J,M,06/06/2023,,,BOA,D
D,169826,Drymophila ochropyga,A,F,06/06/2023,,,BOA,D
D,169827,Dacnis cayana,J,F,08/06/2023,,,BOA,D
D,169828,Neopelma chrysolophum,J,U,08/06/2023,,,BOA,D
D,169829,Mionectes rufiventris,A,U,25/06/2023,,,BOA,D
D,169830,Dysithamnus mentalis,A,F,27/06/2023,,,BOA,D
D,169831,Mionectes rufiventris,A,U,27/06/2023,,,BOA,D
