Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
E,195669,Haplospiza unicolor,A,F,29/04/2023,,,BOA,E
E,195665,Chiroxiphia caudata,J,M,27/04/2023,,,BOA,E
E,195666,Chiroxiphia caudata,J,F,27/04/2023,,,BOA,E
E,195667,Chiroxiphia caudata,A,M,27/04/2023,,,BOA,E
E,195668,Chiroxiphia caudata,A,M,27/04/2023,,,BOA,E
E,195670,Dysithamnus mentalis,J,M,03/05/2023,,,BOA,E
E,195671,Haplospiza unicolor,J,F,03/05/2023,,,BOA,E
E,195672,Xiphorhynchus fuscus,J,U,06/05/2023,,,BOA,E
E,195673,Tangara desmaresti,A,U,06/05/2023,,,BOA,E
E,195674,Chiroxiphia caudata,A,F,07/05/2023,,,BOA,E
E,195675,Synallaxis ruficapilla,J,U,13/05/2023,,,BOA,E
E,195676,Picumnus cirratus,J,M,13/05/2023,,,BOA,E
E,195680,Euphonia pectoralis,J,F,25/05/2023,,,BOA,E
E,195677,Chiroxiphia caudata,J,U,24/05/2023,,,BOA,E
E,195678,Chiroxiphia caudata,J,U,24/05/2023,,,BOA,E
E,195629,Haplospiza unicolor,J,M,24/05/2023,,,BOA,E
E,195680,Euphonia pectoralis,J,F,25/05/2023,,,BOA,E
E,195681,Chiroxiphia caudata,J,M,02/06/2023,,,BOA,E
E,195682,Tangara desmaresti,J,U,02/06/2023,,,BOA,E
E,195689,Trichothraupis melanops,J,M,06/06/2023,,,BOA,E
E,195690,Chiroxiphia caudata,J,M,06/06/2023,,,BOA,E
E,195691,Chiroxiphia caudata,A,F,06/06/2023,,,BOA,E
E,195683,Cranioleuca pallida,J,U,03/06/2023,,,BOA,E
E,195684,Chiroxiphia caudata,J,F,05/06/2023,,,BOA,E
E,195685,Chiroxiphia caudata,J,F,05/06/2023,,,BOA,E
E,195686,Tangara desmaresti,A,U,05/06/2023,,,BOA,E
E,195687,Thamnophilus caerulescens,A,F,06/06/2023,,,BOA,E
E,195688,Haplospiza unicolor,D,F,06/06/2023,,,BOA,E
E,168670,Sporophila frontalis,A,F,26/03/2020,,,BOA,E
E,127795,Haplospiza unicolor,A,M,22/02/2020,,,BOA,E
E,187601,Chiroxiphia caudata,J,F,06/06/2023,,,BOA,E
