Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
F,84503,Myiarchus ferox,J,U,27/04/2023,,,BOA,F
F,84504,Sirystes sibilator,J,U,27/04/2023,,,BOA,F
F,84505,Arremon semitorquatus,J,F,28/04/2023,,,BOA,F
F,84506,Pyriglena leucoptera,J,M,28/04/2023,,,BOA,F
F,84507,Turdus leucomelas,A,U,28/04/2023,,,BOA,F
F,84508,Trichothraupis melanops,J,M,28/04/2023,,,BOA,F
F,84509,Tachyphonus coronatus,J,M,29/04/2023,,,BOA,F
F,84510,Pyriglena leucoptera,A,M,29/04/2023,,,BOA,F
F,84511,Tachyphonus coronatus,J,M,03/05/2023,,,BOA,F
F,84512,Tachyphonus coronatus,J,M,03/05/2023,,,BOA,F
F,84513,Pyriglena leucoptera,A,F,03/05/2023,,,BOA,F
F,84514,Pyriglena leucoptera,J,F,04/05/2023,,,BOA,F
F,84515,Pyriglena leucoptera,J,F,04/05/2023,,,BOA,F
F,84516,Trichothraupis melanops,J,F,14/05/2023,,,BOA,F
F,84517,Lepidocolaptes squamatus,J,U,24/05/2023,,,BOA,F
F,84518,Trichothraupis melanops,J,U,24/05/2023,,,BOA,F
F,84520,Trichothraupis melanops,J,M,02/06/2023,,,BOA,F
F,84521,Tachyphonus coronatus,J,F,03/06/2023,,,BOA,F
F,84522,Tachyphonus coronatus,J,M,05/06/2023,,,BOA,F
F,84523,Tachyphonus coronatus,J,F,05/06/2023,,,BOA,F
F,84524,Arremon semitorquatus,A,F,05/06/2023,,,BOA,F
F,84525,Arremon semitorquatus,A,M,05/06/2023,,,BOA,F
F,84526,Trichothraupis melanops,A,M,05/06/2023,,,BOA,F
F,84527,Trichothraupis melanops,A,F,05/06/2023,,,BOA,F
F,84528,Trichothraupis melanops,A,M,06/06/2023,,,BOA,F
F,84529,Trichothraupis melanops,A,M,06/06/2023,,,BOA,F
F,84530,Trichothraupis melanops,J,M,06/06/2023,,,BOA,F
F,84531,Trichothraupis melanops,J,U,25/06/2023,,,BOA,F
F,84534,Schiffornis virescens,A,U,27/06/2023,,,BOA,F
F,84537,Sclerurus scansor,J,U,28/06/2023,,,BOA,F
F,84535,Trichothraupis melanops,J,M,28/06/2023,,,BOA,F
F,84519,Pyriglena leucoptera,A,M,03/06/2023,,,BOA,F
F,84536,Cyclarhis gujanensis,J,U,04/07/2023,,,BOA,F
F,84538,Tachyphonus coronatus,J,M,04/07/2023,,,BOA,F
F,84539,Tachyphonus coronatus,J,M,04/07/2023,,,BOA,F
F,84540,Tachyphonus coronatus,J,F,04/07/2023,,,BOA,F
F,84541,Trichothraupis melanops,J,F,05/07/2023,,,BOA,F
F,84542,Tachyphonus coronatus,J,M,05/07/2023,,,BOA,F
F,84543,Tachyphonus coronatus,J,F,05/07/2023,,,BOA,F
F,84544,Hirundinea ferruginea,J,U,05/07/2023,,,BOA,F
F,84545,Tachyphonus coronatus,J,M,05/07/2023,,,BOA,F
F,84546,Trichothraupis melanops,A,M,11/07/2023,,,BOA,F
F,84547,Cyanoloxia brissonii,J,F,11/07/2023,,,BOA,F
F,84548,Cyclarhis gujanensis,J,U,12/07/2023,,,BOA,F
F,84549,Trichothraupis melanops,J,M,18/07/2023,,,BOA,F
F,84550,Trichothraupis melanops,A,F,18/07/2023,,,BOA,F
F,84551,Trichothraupis melanops,J,F,26/07/2023,,,BOA,F
F,84553,Trichothraupis melanops,A,M,26/07/2023,,,BOA,F
F,84552,Tachyphonus coronatus,J,F,26/07/2023,,,BOA,F
F,84554,Trichothraupis melanops,J,M,27/07/2023,,,BOA,F
F,84555,Tachyphonus coronatus,J,F,01/08/2023,,,BOA,F
F,84556,Philydor rufum,J,U,01/08/2023,,,BOA,F
F,84557,Thamnophilus caerulescens,A,M,01/08/2023,,,BOA,F
F,84558,Cyclarhis gujanensis,J,U,01/08/2023,,,BOA,F
F,84559,Trichothraupis melanops,A,F,01/08/2023,,,BOA,F
F,84560,Cyanoloxia brissonii,J,M,01/08/2023,,,BOA,F
F,84561,Syndactyla rufosuperciliata,J,U,02/08/2023,,,BOA,F
F,84562,Syndactyla rufosuperciliata,J,U,08/08/2023,,,BOA,F
F,84563,Trichothraupis melanops,A,F,09/08/2023,,,BOA,F
F,84564,Tachyphonus coronatus,J,M,09/08/2023,,,BOA,F
F,84565,Pipraeidea melanonota,A,F,15/08/2023,,,BOA,F
F,84566,Pyriglena leucoptera,A,F,15/08/2023,,,BOA,F
F,84567,Cyclarhis gujanensis,J,U,15/08/2023,,,BOA,F
F,68309,Tangara cayana,J,U,16/08/2023,,,BOA,F
F,68310,Trichothraupis melanops,J,M,22/08/2023,,,BOA,F
F,68321,Trichothraupis melanops,J,M,04/09/2023,,,BOA,F
F,68323,Tachyphonus coronatus,J,F,05/09/2023,,,BOA,F
F,68324,Trichothraupis melanops,J,M,05/09/2023,,,BOA,F
F,68325,Thamnophilus caerulescens,A,M,06/09/2023,,,BOA,F
F,84584,Tachyphonus coronatus,J,M,07/09/2023,,,BOA,F
F,84585,Tachyphonus coronatus,J,F,07/09/2023,,,BOA,F
F,84586,Thamnophilus caerulescens,A,M,12/09/2023,,,BOA,F
F,84587,Zonotrichia capensis,J,U,12/09/2023,,,BOA,F
F,84588,Cyanoloxia brissonii,J,U,13/09/2023,,,BOA,F
F,84589,Tangara sayaca,A,U,13/09/2023,,,BOA,F
F,84590,Sclerurus scansor,J,U,14/10/2023,,,BOA,F
F,84591,Trichothraupis melanops,J,M,14/10/2023,,,BOA,F
F,84592,Tachyphonus coronatus,J,M,14/10/2023,,,BOA,F
F,84593,Pyriglena leucoptera,J,M,06/12/2023,,,BOA,F
F,84594,Tachyphonus coronatus,J,M,06/12/2023,,,BOA,F
F,84595,Philydor rufum,J,U,06/12/2023,,,BOA,F
F,84596,Tachyphonus coronatus,J,M,07/12/2023,,,BOA,F
F,84597,Trichothraupis melanops,J,U,09/01/2024,,,BOA,F
F,84583,Trichothraupis melanops,J,U,10/01/2024,,,BOA,F
F,84582,Trichothraupis melanops,J,U,10/01/2024,,,BOA,F
F,84581,Tachyphonus coronatus,J,M,10/01/2024,,,BOA,F
F,84598,Trichothraupis melanops,J,U,10/01/2024,,,BOA,F
F,84599,Pyriglena leucoptera,J,F,10/01/2024,,,BOA,F
F,84600,Trichothraupis melanops,J,U,10/01/2024,,,BOA,F
F,84579,Arremon semitorquatus,J,M,11/02/2024,,,BOA,F
F,84578,Trichothraupis melanops,J,U,12/02/2024,,,BOA,F
F,84577,Pyriglena leucoptera,J,F,12/02/2024,,,BOA,F
