Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
G,148465,Pyriglena leucoptera,A,F,28/04/2023,,,BOA,G
G,148466,Pyriglena leucoptera,A,M,28/04/2023,,,BOA,G
G,55651,Pyriglena leucoptera,J,M,28/04/2023,,,BOA,G
G,55655,Pyriglena leucoptera,J,M,02/06/2023,,,BOA,G
G,55656,Pyriglena leucoptera,A,F,03/06/2023,,,BOA,G
G,55658,Tachyphonus coronatus,J,M,05/06/2023,,,BOA,G
G,55659,Turdus albicollis,A,U,08/06/2023,,,BOA,G
G,55660,Turdus albicollis,A,U,09/06/2023,,,BOA,G
G,55661,Turdus flavipes,A,M,26/06/2023,,,BOA,G
G,55662,Saltator similis,A,U,04/07/2023,,,BOA,G
G,55663,Tangara sayaca,J,U,05/07/2023,,,BOA,G
G,55664,Saltator similis,A,U,18/07/2023,,,BOA,G
G,55665,Tachyphonus coronatus,J,M,18/07/2023,,,BOA,G
G,55657,Tachyphonus coronatus,J,F,05/06/2023,,,BOA,G
G,55667,Tachyphonus coronatus,J,F,26/07/2023,,,BOA,G
G,55668,Saltator similis,A,U,26/07/2023,,,BOA,G
G,55669,Saltator similis,A,U,01/08/2023,,,BOA,G
G,55670,Tachyphonus coronatus,J,M,01/08/2023,,,BOA,G
G,55666,Saltator similis,A,U,26/07/2023,,,BOA,G
G,55671,Tangara sayaca,A,U,22/08/2023,,,BOA,G
G,55673,Turdus flavipes,J,M,05/09/2023,,,BOA,G
G,55675,Turdus flavipes,A,M,05/09/2023,,,BOA,G
G,55676,Saltator similis,A,U,05/09/2023,,,BOA,G
G,55677,Dendrocolaptes platyrostris,J,U,12/09/2023,,,BOA,G
G,55678,Turdus albicollis,A,M,14/10/2023,,,BOA,G
G,55679,Turdus leucomelas,J,U,15/10/2023,,,BOA,G
G,55680,Turdus albicollis,J,U,05/11/2023,,,BOA,G
G,55681,Turdus albicollis,J,U,05/11/2023,,,BOA,G
G,55682,Sclerurus scansor,J,U,10/01/2024,,,BOA,G
