Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
H,93926,Turdus albicollis,J,U,13/05/2023,,,BOA,H
H,93927,Saltator similis,A,U,24/05/2023,,,BOA,H
H,93928,Turdus albicollis,A,U,24/05/2023,,,BOA,H
H,93929,Turdus albicollis,J,U,24/05/2023,,,BOA,H
H,93930,Turdus albicollis,A,U,02/06/2023,,,BOA,H
H,93931,Turdus albicollis,J,U,02/06/2023,,,BOA,H
H,93932,Turdus albicollis,A,U,05/06/2023,,,BOA,H
H,93933,Turdus rufiventris,A,U,05/06/2023,,,BOA,H
H,93934,Turdus albicollis,A,U,05/06/2023,,,BOA,H
H,93935,Turdus albicollis,A,U,06/06/2023,,,BOA,H
H,93914,Turdus leucomelas,J,U,17/04/2023,,,BOA,H
H,93915,Turdus rufiventris,J,U,26/04/2023,,,BOA,H
H,93916,Turdus leucomelas,J,U,26/04/2023,,,BOA,H
H,93917,Turdus rufiventris,A,U,26/04/2023,,,BOA,H
H,93918,Turdus leucomelas,A,U,27/04/2023,,,BOA,H
H,93919,Turdus rufiventris,J,U,27/04/2023,,,BOA,H
H,93920,Turdus leucomelas,J,U,27/04/2023,,,BOA,H
H,93921,Turdus albicollis,A,U,28/04/2023,,,BOA,H
H,93922,Turdus albicollis,A,U,28/04/2023,,,BOA,H
H,93923,Turdus rufiventris,J,U,04/05/2023,,,BOA,H
H,93924,Turdus rufiventris,A,U,06/05/2023,,,BOA,H
H,93925,Turdus albicollis,J,U,07/05/2023,,,BOA,H
H,93937,Turdus albicollis,A,U,26/06/2023,,,BOA,H
H,93938,Cacicus chrysopterus,J,U,04/07/2023,,,BOA,H
H,93939,Turdus rufiventris,J,U,05/07/2023,,,BOA,H
H,93940,Turdus rufiventris,A,U,26/07/2023,,,BOA,H
H,93941,Turdus rufiventris,A,U,26/07/2023,,,BOA,H
H,93942,Saltator similis,J,U,08/08/2023,,,BOA,H
H,93943,Turdus rufiventris,A,U,09/08/2023,,,BOA,H
H,93944,Turdus albicollis,A,U,09/08/2023,,,BOA,H
H,143415,Turdus albicollis,J,U,07/09/2023,,,BOA,H
H,143416,Turdus albicollis,A,U,07/09/2023,,,BOA,H
H,143417,Turdus leucomelas,A,U,12/09/2023,,,BOA,H
H,143418,Turdus albicollis,J,F,04/11/2023,,,BOA,H
H,143419,Turdus albicollis,J,F,06/12/2023,,,BOA,H
H,143420,Turdus albicollis,J,U,09/01/2024,,,BOA,H
H,143421,Turdus albicollis,J,U,10/01/2024,,,BOA,H
H,143422,Turdus albicollis,J,U,10/01/2024,,,BOA,H
H,143423,Turdus albicollis,J,U,12/02/2024,,,BOA,H
