Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
C,117354,Sittasomus griseicapillus,J,U,29/08/2023,,,IAM,C
C,117355,Phylloscartes ventralis,J,U,29/08/2023,,,IAM,C
C,117356,Neopelma chrysolophum,J,U,30/08/2023,,,IAM,C
C,117357,Platyrinchus mystaceus,J,F,30/08/2023,,,IAM,C
C,117358,Platyrinchus mystaceus,A,M,31/08/2023,,,IAM,C
C,117359,Platyrinchus mystaceus,A,M,31/08/2023,,,IAM,C
C,117360,Phylloscartes ventralis,J,F,31/08/2023,,,IAM,C
C,117361,Basileuterus culicivorus,J,U,31/08/2023,,,IAM,C
C,117362,Basileuterus culicivorus,J,U,31/08/2023,,,IAM,C
C,117363,Platyrinchus mystaceus,A,M,31/08/2023,,,IAM,C
C,117364,Neopelma chrysolophum,A,M,31/08/2023,,,IAM,C
