Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
D,169864,Synallaxis cinerascens,J,U,29/08/2023,,,IAM,D
D,169866,Basileuterus culicivorus,J,U,29/08/2023,,,IAM,D
D,169867,Basileuterus culicivorus,J,U,30/08/2023,,,IAM,D
D,169868,Neopelma chrysolophum,A,U,30/08/2023,,,IAM,D
D,169869,Synallaxis cinerascens,J,U,31/08/2023,,,IAM,D
D,169870,Basileuterus culicivorus,J,U,31/08/2023,,,IAM,D
D,169871,Myiothlypis leucoblephara,J,U,31/08/2023,,,IAM,D
D,169872,Neopelma chrysolophum,J,M,31/08/2023,,,IAM,D
D,169873,Neopelma chrysolophum,J,U,31/08/2023,,,IAM,D
D,169874,Basileuterus culicivorus,J,M,31/08/2023,,,IAM,D
