Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
E,152842,Drymophila malura,A,M,29/08/2023,,,IAM,E
E,187638,Myiothlypis leucoblephara,A,U,29/08/2023,,,IAM,E
E,187639,Chiroxiphia caudata,A,M,29/08/2023,,,IAM,E
E,187640,Conopophaga lineata,A,F,30/08/2023,,,IAM,E
E,187641,Chiroxiphia caudata,J,M,30/08/2023,,,IAM,E
E,187642,Conopophaga lineata,A,M,30/08/2023,,,IAM,E
E,187643,Conopophaga lineata,J,F,30/08/2023,,,IAM,E
E,187635,Myiothlypis leucoblephara,J,U,29/08/2023,,,IAM,E
E,187636,Xiphorhynchus fuscus,J,U,29/08/2023,,,IAM,E
E,187644,Chiroxiphia caudata,A,M,30/08/2023,,,IAM,E
E,187637,Myiothlypis leucoblephara,A,U,29/08/2023,,,IAM,E
E,187645,Synallaxis ruficapilla,J,U,30/08/2023,,,IAM,E
E,187646,Drymophila malura,A,F,30/08/2023,,,IAM,E
E,187647,Conopophaga lineata,J,M,30/08/2023,,,IAM,E
E,187648,Myiothlypis leucoblephara,J,M,31/08/2023,,,IAM,E
E,187649,Thamnophilus caerulescens,A,F,31/08/2023,,,IAM,E
E,187650,Conopophaga lineata,J,F,31/08/2023,,,IAM,E
