Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
F,68311,Tachyphonus coronatus,J,M,29/08/2023,,,IAM,F
F,68312,Tachyphonus coronatus,J,F,30/08/2023,,,IAM,F
F,68313,Tachyphonus coronatus,J,M,30/08/2023,,,IAM,F
F,68314,Trichothraupis melanops,J,M,31/08/2023,,,IAM,F
F,68315,Tachyphonus coronatus,J,F,31/08/2023,,,IAM,F
F,68316,Thamnophilus caerulescens,A,F,31/08/2023,,,IAM,F
F,68317,Tachyphonus coronatus,J,F,31/08/2023,,,IAM,F
F,68318,Tachyphonus coronatus,J,M,31/08/2023,,,IAM,F
F,68319,Trichothraupis melanops,J,F,31/08/2023,,,IAM,F
F,68320,Thamnophilus caerulescens,J,F,31/08/2023,,,IAM,F
