Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
C,134127,Ilicura militaris,J,U,03/10/2020,,,LIA,C
C,134128,Basileuterus culicivorus,J,M,03/10/2020,,,LIA,C
C,134129,Myiobius atricaudus,J,U,03/10/2020,,,LIA,C
C,134130,Myiobius atricaudus,D,U,03/10/2020,,,LIA,C
C,134147,Hemitriccus obsoletus,J,U,09/10/2020,,,LIA,C
C,134131,Basileuterus culicivorus,A,M,03/10/2020,,,LIA,C
C,134132,Myiobius atricaudus,J,U,04/10/2020,,,LIA,C
C,134133,Sittasomus griseicapillus,J,M,04/10/2020,,,LIA,C
C,134148,Myiobius atricaudus,J,U,09/10/2020,,,LIA,C
C,134134,Basileuterus culicivorus,A,M,05/10/2020,,,LIA,C
C,134149,Mionectes rufiventris,J,U,09/10/2020,,,LIA,C
C,134135,Basileuterus culicivorus,A,U,07/10/2020,,,LIA,C
C,134136,Basileuterus culicivorus,A,M,07/10/2020,,,LIA,C
C,134138,Basileuterus culicivorus,A,M,07/10/2020,,,LIA,C
C,134139,Basileuterus culicivorus,A,M,07/10/2020,,,LIA,C
C,134140,Stelgidopteryx ruficollis,J,M,08/10/2020,,,LIA,C
C,134141,Lathrotriccus euleri,J,U,08/10/2020,,,LIA,C
C,134142,Todirostrum cinereum,J,U,08/10/2020,,,LIA,C
C,134143,Todirostrum cinereum,A,M,08/10/2020,,,LIA,C
C,134144,Platyrinchus mystaceus,A,F,09/10/2020,,,LIA,C
C,134145,Neopelma chrysolophum,A,U,09/10/2020,,,LIA,C
C,134146,Mionectes rufiventris,J,U,09/10/2020,,,LIA,C
C,134137,Platyrinchus mystaceus,A,M,07/10/2020,,,LIA,C
