Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
E,195642,Trichothraupis melanops,A,M,03/10/2020,,,LIA,E
E,195641,Vireo chivi,J,U,03/10/2020,,,LIA,E
E,195640,Xiphorhynchus fuscus,J,U,03/10/2020,,,LIA,E
E,195639,Chiroxiphia caudata,A,M,03/10/2020,,,LIA,E
E,195638,Chiroxiphia caudata,A,F,03/10/2020,,,LIA,E
E,195637,Chiroxiphia caudata,A,F,03/10/2020,,,LIA,E
E,195636,Dysithamnus stictothorax,A,M,03/10/2020,,,LIA,E
E,195635,Xiphorhynchus fuscus,J,F,03/10/2020,,,LIA,E
E,195634,Conopophaga melanogaster,J,M,04/10/2020,,,LIA,E
E,195633,Thamnophilus caerulescens,J,M,05/10/2020,,,LIA,E
E,195632,Picumnus cirratus,J,M,05/10/2020,,,LIA,E
E,195631,Euphonia pectoralis,J,F,07/10/2020,,,LIA,E
E,195630,Euphonia pectoralis,J,M,07/10/2020,,,LIA,E
E,195629,Elaenia chiriquensis,J,F,08/10/2020,,,LIA,E
E,195628,Haplospiza unicolor,J,M,09/10/2020,,,LIA,E
E,195627,Conopophaga lineata,A,F,09/10/2020,,,LIA,E
E,195626,Conopophaga lineata,A,M,09/10/2020,,,LIA,E
E,195625,Haplospiza unicolor,A,F,09/10/2020,,,LIA,E
E,195624,Haplospiza unicolor,J,M,09/10/2020,,,LIA,E
