Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location,bandSize
F,88857,Habia rubica,J,M,03/10/2020,,,LIA,F
F,88858,Automolus leucophthalmus,J,M,03/10/2020,,,LIA,F
F,88859,Trichothraupis melanops,J,F,05/10/2020,,,LIA,F
F,88860,Tachyphonus coronatus,J,F,05/10/2020,,,LIA,F
F,88861,Tachyphonus coronatus,J,F,05/10/2020,,,LIA,F
F,88862,Trichothraupis melanops,A,F,05/10/2020,,,LIA,F
F,88863,Tachyphonus coronatus,J,M,05/10/2020,,,LIA,F
F,88864,Pyriglena leucoptera,A,F,07/10/2020,,,LIA,F
F,88866,Philydor atricapillus,J,U,07/10/2020,,,LIA,F
F,88867,Passer domesticus,J,F,08/10/2020,,,LIA,F
F,88868,Passer domesticus,J,M,08/10/2020,,,LIA,F
F,88865,Philydor atricapillus,J,M,07/10/2020,,,LIA,F
F,88869,Passer domesticus,J,M,08/10/2020,,,LIA,F
F,88870,Trichothraupis melanops,A,M,09/10/2020,,,LIA,F
F,88871,Trichothraupis melanops,A,M,09/10/2020,,,LIA,F
F,88872,Tachyphonus coronatus,J,M,09/10/2020,,,LIA,F
F,88873,Tachyphonus coronatus,J,M,09/10/2020,,,LIA,F
