station,location,captureCode,bandSize,bandNumber,sppName,age_wrp,sex,IDADE.CEMAVE,datanew,CBRO
BOA1,BOA,R,C,70242,Ilicura militaris,DCB,M,A,24/07/2021,TRUE
BOA1,BOA,R,C,70246,Myiobius atricaudus,DCB,U,A,29/08/2021,TRUE
BOA1,BOA,R,C,70230,Sittasomus griseicapillus,DPB,U,A,27/02/2022,TRUE
BOA3,BOA,R,C,70240,Myiobius atricaudus,MFPA,U,J,18/03/2022,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,MFCF,U,J,24/03/2022,TRUE
BOA1,BOA,R,C,80046,Basileuterus culicivorus,MFCF,U,J,24/03/2022,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,FCF,M,J,24/03/2022,TRUE
BOA1,BOA,R,F,50248,Pyriglena leucoptera,FPF,F,J,25/03/2022,TRUE
BOA3,BOA,R,C,70230,Sittasomus griseicapillus,MFCF,U,J,04/04/2022,TRUE
BOA2,BOA,R,C,80039,Platyrinchus mystaceus,MFCF,M,J,19/04/2022,TRUE
BOA2,BOA,R,C,80039,Platyrinchus mystaceus,NA,NA,D,20/04/2022,TRUE
BOA3,BOA,R,C,80049,Basileuterus culicivorus,DCB,U,A,27/04/2022,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,DCB,M,A,03/05/2022,TRUE
BOA1,BOA,R,F,50248,Pyriglena leucoptera,FPF,F,J,03/05/2022,TRUE
BOA1,BOA,R,C,80045,Basileuterus culicivorus,DCB,U,A,04/05/2022,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,DCB,M,A,04/05/2022,TRUE
BOA1,BOA,R,F,50248,Pyriglena leucoptera,NA,NA,D,04/05/2022,TRUE
BOA2,BOA,R,C,80004,Myiothlypis leucoblephara,DCB,U,A,25/05/2022,NA
BOA1,BOA,R,F,50249,Sclerurus scansor,MFCF,U,J,02/06/2022,TRUE
BOA3,BOA,R,C,70230,Sittasomus griseicapillus,MFCF,U,J,09/06/2022,TRUE
BOA1,BOA,R,C,70246,Myiobius atricaudus,MFCF,U,J,18/06/2022,TRUE
BOA3,BOA,R,C,80047,Ilicura militaris,DCB,F,A,21/06/2022,TRUE
BOA1,BOA,R,C,55072,Basileuterus culicivorus,DCB,U,A,17/06/2022,TRUE
BOA2,BOA,R,F,50248,Pyriglena leucoptera,FCF,F,J,06/07/2022,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,DCB,M,A,16/07/2022,TRUE
BOA2,BOA,R,C,80004,Myiothlypis leucoblephara,DCB,U,A,23/07/2022,NA
BOA1,BOA,R,C,80045,Basileuterus culicivorus,DCB,U,A,05/08/2022,TRUE
BOA3,BOA,R,E,195608,Conopophaga lineata,DCB,M,A,21/08/2022,TRUE
BOA2,BOA,R,C,80040,Poecilotriccus plumbeiceps,DCB,U,A,21/09/2022,TRUE
BOA3,BOA,R,F,38223,Trichothraupis melanops,DCB,M,A,25/09/2022,NA
BOA1,BOA,R,F,50248,Pyriglena leucoptera,FCF,F,J,17/10/2022,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,DCB,M,A,17/10/2022,TRUE
BOA2,BOA,R,C,80004,Myiothlypis leucoblephara,DCB,U,A,23/10/2022,NA
BOA2,BOA,R,C,84784,Lathrotriccus euleri,DCB,U,A,23/10/2022,TRUE
BOA1,BOA,R,C,80041,Neopelma chrysolophum,DCB,U,A,31/10/2022,TRUE
BOA1,BOA,R,C,80037,Chlorophonia cyanea,MFCF,F,J,01/11/2022,TRUE
BOA1,BOA,R,F,50248,Pyriglena leucoptera,FCF,F,J,01/11/2022,TRUE
BOA2,BOA,R,C,80020,Platyrinchus mystaceus,MFCF,M,J,06/11/2022,TRUE
BOA1,BOA,R,C,70243,Dysithamnus mentalis,DCB,F,A,10/12/2022,TRUE
BOA1,BOA,R,E,195609,Chiroxiphia caudata,M4CB,M,A,11/12/2022,TRUE
BOA1,BOA,R,F,50248,Pyrrhura leucotis,FCF,F,J,22/01/2023,TRUE
BOA1,BOA,R,C,70245,Leptopogon amaurocephalus,DCB,U,A,20/03/2023,TRUE
BOA3,BOA,R,C,70230,Sittasomus griseicapillus,FPF,U,J,22/03/2023,TRUE
BOA2,BOA,R,C,55088,Basileuterus culicivorus,MFCF,U,J,29/03/2023,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,DCB,M,A,30/03/2023,TRUE
BOA1,BOA,R,C,80024,Lathrotriccus euleri,DCB,U,A,18/04/2023,TRUE
BOA1,BOA,R,F,38223,Trichothraupis melanops,DPB,M,A,18/04/2023,NA
BOA2,BOA,R,C,80004,Myiothlypis leucoblephara,UCU,U,D,05/04/2023,NA
BOA1,BOA,R,C,80028,Basileuterus culicivorus,MFCF,U,J,17/04/2023,TRUE
BOA2,BOA,R,D,169806,Synallaxis ruficapilla,MFCF,U,J,29/04/2023,TRUE
BOA1,BOA,R,D,169810,Leptopogon amaurocephalus,MFCF,U,J,03/05/2023,TRUE
BOA1,BOA,R,F,84506,Pyriglena leucoptera,FCF,M,J,04/05/2023,TRUE
BOA3,BOA,R,F,84514,Pyriglena leucoptera,MFCF,F,J,07/05/2023,TRUE
BOA3,BOA,R,C,70230,Sittasomus griseicapillus,MFCF,U,J,07/05/2023,TRUE
BOA3,BOA,R,C,80049,Basileuterus culicivorus,FCF,U,J,07/05/2023,TRUE
BOA2,BOA,R,F,84508,Trichothraupis melanops,FCF,M,J,13/05/2023,NA
BOA2,BOA,R,C,55088,Basileuterus culicivorus,FCF,U,J,14/05/2023,TRUE
BOA1,BOA,R,C,70245,Leptopogon amaurocephalus,DCB,U,A,24/05/2023,TRUE
BOA1,BOA,R,F,84511,Tachyphonus coronatus,MFCF,M,J,24/05/2023,TRUE
BOA3,BOA,R,F,84506,Pyriglena leucoptera,FCF,M,J,02/06/2023,TRUE
BOA3,BOA,R,D,169803,Neopelma chrysolophum,DCB,M,A,02/06/2023,TRUE
BOA3,BOA,R,H,112497,Turdus albicollis,FCF,U,J,02/06/2023,TRUE
BOA3,BOA,R,F,84506,Pyriglena leucoptera,MFCF,M,J,03/06/2023,TRUE
BOA3,BOA,R,G,55652,Pyriglena leucoptera,FCF,M,J,03/06/2023,TRUE
BOA2,BOA,R,D,169812,Xiphorhynchus fuscus,MFCF,U,J,06/06/2023,TRUE
BOA2,BOA,R,E,195675,Synallaxis ruficapilla,MFCF,U,J,06/06/2023,TRUE
BOA1,BOA,R,D,169805,Neopelma chrysolophum,DCB,U,A,08/06/2023,TRUE
BOA1,BOA,R,F,38223,Trichothraupis melanops,DCB,M,A,08/06/2023,NA
BOA2,BOA,R,F,84505,Arremon semitorquatus,UUU,U,A,29/04/2023,TRUE
BOA1,BOA,R,D,169810,Leptopogon amaurocephalus,MFCF,U,J,09/06/2023,TRUE
BOA1,BOA,R,F,84511,Tachyphonus coronatus,MFCF,M,J,25/06/2023,TRUE
BOA1,BOA,R,E,195678,Chiroxiphia caudata,FCF,M,J,25/06/2023,TRUE
BOA1,BOA,R,F,84532,Trichothraupis melanops,FCF,M,J,25/06/2023,NA
BOA1,BOA,R,D,169821,Ilicura militaris,FCF,U,J,25/06/2023,TRUE
BOA3,BOA,R,F,84506,Pyriglena leucoptera,FCF,M,J,07/05/2023,TRUE
BOA2,BOA,R,C,80004,Myiothlypis leucoblephara,FCF,U,J,28/06/2023,NA
BOA2,BOA,R,F,84528,Trichothraupis melanops,DCB,M,A,28/06/2023,NA
BOA2,BOA,R,F,84527,Trichothraupis melanops,FCF,U,J,28/06/2023,NA
BOA3,BOA,R,E,195665,Chiroxiphia caudata,FCF,M,J,04/07/2023,TRUE
BOA3,BOA,R,E,195665,Chiroxiphia caudata,FCF,M,J,05/07/2023,TRUE
BOA3,BOA,R,E,195689,Trichothraupis melanops,FCF,M,J,05/07/2023,NA
BOA3,BOA,R,F,38223,Trichothraupis melanops,DCB,M,A,05/07/2023,NA
BOA1,BOA,R,C,75195,Basileuterus culicivorus,FCF,U,J,12/07/2023,TRUE
BOA1,BOA,R,C,75193,Basileuterus culicivorus,DCB,U,A,14/04/2020,TRUE
BOA2,BOA,R,F,84505,Arremon semitorquatus,DCB,F,A,18/07/2023,TRUE
BOA2,BOA,R,D,169812,Xiphorhynchus fuscus,MFCF,U,J,18/07/2023,TRUE
BOA2,BOA,R,D,169818,Dysithamnus mentalis,FCF,M,J,18/07/2023,TRUE
BOA2,BOA,R,F,84526,Trichothraupis melanops,DCB,M,A,18/07/2023,NA
BOA2,BOA,R,F,84545,Tachyphonus coronatus,FCF,M,J,18/07/2023,TRUE
BOA3,BOA,R,H,93918,Turdus leucomelas,DCB,U,A,26/07/2023,TRUE
BOA3,BOA,R,D,169815,Ilicura militaris,DCB,F,A,26/07/2023,TRUE
BOA3,BOA,R,D,169810,Leptopogon amaurocephalus,MFCF,F,J,27/07/2023,TRUE
BOA3,BOA,R,F,84547,Cyanoloxia brissonii,FCF,F,J,27/07/2023,TRUE
BOA4,BOA,R,D,169821,Ilicura militaris,DCB,F,A,01/08/2023,TRUE
BOA4,BOA,R,F,84531,Trichothraupis melanops,FCF,F,J,02/08/2023,NA
BOA4,BOA,R,D,169805,Neopelma chrysolophum,MFCF,U,J,02/08/2023,TRUE
BOA4,BOA,R,H,93941,Turdus rufiventris,DCB,U,A,02/08/2023,TRUE
BOA4,BOA,R,D,169833,Neopelma chrysolophum,FCF,U,J,02/08/2023,TRUE
BOA4,BOA,R,F,84552,Tachyphonus coronatus,MFCF,U,J,02/08/2023,TRUE
BOA1,BOA,R,D,169805,Neopelma chrysolophum,FCF,U,J,08/08/2023,TRUE
BOA2,BOA,R,D,169830,Dysithamnus mentalis,FCF,F,J,15/08/2023,TRUE
BOA2,BOA,R,D,169816,Synallaxis ruficapilla,MFCF,U,J,15/08/2023,TRUE
BOA2,BOA,R,F,84566,Pyriglena leucoptera,FCF,F,J,15/08/2023,TRUE
BOA2,BOA,R,E,195683,Conopophaga lineata,FCF,M,J,16/08/2023,TRUE
BOA2,BOA,R,E,187613,Tachyphonus coronatus,MFCF,M,J,16/08/2023,TRUE
BOA3,BOA,R,E,152832,Synallaxis ruficapilla,MFCF,U,J,22/08/2023,TRUE
BOA3,BOA,R,D,169810,Leptopogon amaurocephalus,MFCF,U,J,22/08/2023,TRUE
BOA3,BOA,R,F,84547,Cyanoloxia brissonii,FCF,U,J,22/08/2023,TRUE
BOA3,BOA,R,C,110623,Ilicura militaris,FCF,U,J,23/08/2023,TRUE
BOA3,BOA,R,G,55667,Tachyphonus coronatus,MFCF,F,J,23/08/2023,TRUE
BOA1,BOA,R,E,195672,Xiphorhynchus fuscus,MFCF,U,J,04/09/2023,TRUE
BOA1,BOA,R,D,169825,Dysithamnus mentalis,DCB,M,A,04/09/2023,TRUE
BOA1,BOA,R,C,110648,Ilicura militaris,FCF,U,J,04/09/2023,TRUE
BOA1,BOA,R,H,93928,Turdus albicollis,DCB,M,A,05/09/2023,TRUE
BOA1,BOA,R,D,169857,Basileuterus culicivorus,FCF,M,J,05/09/2023,TRUE
BOA1,BOA,R,D,169877,Neopelma chrysolophum,NA,NA,D,05/09/2023,TRUE
BOA1,BOA,R,E,195672,Xiphorhynchus fuscus,MFCF,U,J,05/09/2023,TRUE
BOA1,BOA,R,D,169828,Neopelma chrysolophum,FCF,U,J,05/09/2023,TRUE
BOA2,BOA,R,D,169839,Basileuterus culicivorus,FCF,U,J,06/09/2023,TRUE
BOA2,BOA,R,H,93934,Turdus albicollis,DCB,U,A,07/09/2023,TRUE
BOA2,BOA,R,F,84505,Arremon semitorquatus,FCF,F,J,07/09/2023,TRUE
