Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location
C,93258,Ilicura militaris,J,U,26/03/2024,,,BOA
C,93259,Camptostoma obsoletum,J,U,26/03/2024,,,BOA
E,171423,Conopophaga lineata,J,F,26/03/2024,,,BOA
G,55687,Turdus albicollis,A,U,26/03/2024,,,BOA
D,77791,Rhopias gularis,J,U,26/03/2024,,,BOA
D,77792,Drymophila ochropyga,J,U,26/03/2024,,,BOA
A,45269,Thalurania glaucopis,J,F,26/03/2024,,,BOA
A,45268,Phaethornis eurynome,A,U,26/03/2024,,,BOA
C,93260,Sporophila caerulescens,J,U,26/03/2024,,,BOA
C,93261,Neopelma chrysolophum,A,U,26/03/2024,,,BOA
D,77793,Sporophila caerulescens,J,M,26/03/2024,,,BOA
E,171424,Troglodytes musculus,J,U,26/03/2024,,,BOA
A,45272,Phaethornis eurynome,J,U,17/04/2024,,,BOA
