Código da Anilha;Número da Anilha;Espécies;Código da Idade;Código do Sexo;Data;Diâmetro do Tarso;Observações
C;93258;Ilicura militaris;J;I;26/03/2024;;
C;93259;Camptostoma obsoletum;J;I;26/03/2024;;
E;171423;Conopophaga lineata;J;F;26/03/2024;;
G;55687;Turdus albicollis;A;I;26/03/2024;;
D;77791;Myrmotherula gularis;J;I;26/03/2024;;
D;77792;Drymophila ochropyga;J;I;26/03/2024;;
A;45269;Thalurania glaucopis;J;F;26/03/2024;;
A;45268;Phaethornis eurynome;A;I;26/03/2024;;
C;93260;Sporophila caerulescens;J;I;26/03/2024;;
C;93261;Neopelma chrysolophum;A;I;26/03/2024;;
D;77793;Sporophila caerulescens;J;M;26/03/2024;;
E;171424;Troglodytes musculus;J;I;26/03/2024;;
A;45272;Phaethornis eurynome;J;I;17/04/2024;;
