Código da Anilha,Número da Anilha,Espécies,Código da Idade,Código do Sexo,Data,Diâmetro do Tarso,Observações,location
C,124701,Hemitriccus obsoletus,J,U,18/03/2024,,,IAM
C,124702,Platyrinchus mystaceus,J,M,18/03/2024,,,IAM
C,117394,Neopelma chrysolophum,A,U,18/03/2024,,,IAM
C,124703,Platyrinchus mystaceus,J,M,18/03/2024,,,IAM
C,117395,Platyrinchus mystaceus,A,M,18/03/2024,,,IAM
D,77776,Myiothlypis leucoblephara,J,U,18/03/2024,,,IAM
D,177051,Haplospiza unicolor,A,F,18/03/2024,,,IAM
D,77777,Myiothlypis leucoblephara,J,U,18/03/2024,,,IAM
C,117396,Platyrinchus mystaceus,A,M,18/03/2024,,,IAM
D,177052,Myiothlypis leucoblephara,J,U,18/03/2024,,,IAM
D,77778,Synallaxis ruficapilla,J,U,18/03/2024,,,IAM
D,177053,Myiothlypis leucoblephara,J,U,18/03/2024,,,IAM
C,117397,Neopelma chrysolophum,A,U,18/03/2024,,,IAM
D,77779,Basileuterus culicivorus,A,U,18/03/2024,,,IAM
D,177054,Haplospiza unicolor,J,M,18/03/2024,,,IAM
D,77780,Hylophilus poicilotis,A,F,18/03/2024,,,IAM
D,177055,Basileuterus culicivorus,J,U,18/03/2024,,,IAM
C,124800,Basileuterus culicivorus,J,U,18/03/2024,,,IAM
C,117398,Basileuterus culicivorus,J,U,18/03/2024,,,IAM
D,177078,Mionectes rufiventris,J,U,18/03/2024,,,IAM
D,177056,Tolmomyias sulphurescens,J,U,18/03/2024,,,IAM
C,117399,Basileuterus culicivorus,J,U,18/03/2024,,,IAM
E,187688,Chiroxiphia caudata,A,M,18/03/2024,,,IAM
E,187689,Chiroxiphia caudata,A,F,18/03/2024,,,IAM
E,187690,Myiothlypis leucoblephara,A,U,18/03/2024,,,IAM
E,187691,Myiothlypis leucoblephara,A,U,18/03/2024,,,IAM
E,187691,Thamnophilus caerulescens,A,F,18/03/2024,,,IAM
E,187693,Chiroxiphia caudata,J,F,18/03/2024,,,IAM
F,84576,Pyriglena leucoptera,A,F,18/03/2024,,,IAM
F,84575,Pyriglena leucoptera,A,M,18/03/2024,,,IAM
F,84574,Tachyphonus coronatus,A,M,18/03/2024,,,IAM
L,122965,Leptotila rufaxilla,A,U,18/03/2024,,,IAM
F,87472,Zonotrichia capensis,A,U,18/03/2024,,,IAM
