Código da Anilha;Número da Anilha;Espécies;Código da Idade;Código do Sexo;Data;Diâmetro do Tarso;Observações
C;124701;Hemitriccus obsoletus;J;I;18/03/2024;;
C;124702;Platyrinchus mystaceus;J;M;18/03/2024;;
C;117394;Neopelma chrysolophum;A;I;18/03/2024;;
C;124703;Platyrinchus mystaceus;J;M;18/03/2024;;
C;117395;Platyrinchus mystaceus;A;M;18/03/2024;;
D;77776;Basileuterus leucoblepharus;J;I;18/03/2024;;
D;177051;Haplospiza unicolor;A;F;18/03/2024;;
D;77777;Basileuterus leucoblepharus;J;I;18/03/2024;;
C;117396;Platyrinchus mystaceus;A;M;18/03/2024;;
D;177052;Basileuterus leucoblepharus;J;I;18/03/2024;;
D;77778;Synallaxis ruficapilla;J;I;18/03/2024;;
D;177053;Basileuterus leucoblepharus;J;I;18/03/2024;;
C;117397;Neopelma chrysolophum;A;I;18/03/2024;;
D;77779;Basileuterus culicivorus;A;I;18/03/2024;;
D;177054;Haplospiza unicolor;J;M;18/03/2024;;
D;77780;Hylophilus poicilotis;A;F;18/03/2024;;
D;177055;Basileuterus culicivorus;J;I;18/03/2024;;
C;124800;Basileuterus culicivorus;J;I;18/03/2024;;
C;117398;Basileuterus culicivorus;J;I;18/03/2024;;
D;177078;Mionectes rufiventris;J;I;18/03/2024;;
D;177056;Tolmomyias sulphurescens;J;I;18/03/2024;;
C;117399;Basileuterus culicivorus;J;I;18/03/2024;;
E;187688;Chiroxiphia caudata;A;M;18/03/2024;;
E;187689;Chiroxiphia caudata;A;F;18/03/2024;;
E;187690;Basileuterus leucoblepharus;A;I;18/03/2024;;
E;187691;Basileuterus leucoblepharus;A;I;18/03/2024;;
E;187691;Thamnophilus caerulescens;A;F;18/03/2024;;
E;187693;Chiroxiphia caudata;J;F;18/03/2024;;
F;84576;Pyriglena leucoptera;A;F;18/03/2024;;
F;84575;Pyriglena leucoptera;A;M;18/03/2024;;
F;84574;Tachyphonus coronatus;A;M;18/03/2024;;
L;122965;Leptotila rufaxilla;A;I;18/03/2024;;
F;87472;Zonotrichia capensis;A;I;18/03/2024;;
F;87463;Troglodytes musculus;J;I;18/03/2024;;
G;139273;Tangara sayaca;A;I;18/03/2024;;
G;139274;Tangara sayaca;A;I;18/03/2024;;
G;139275;Tangara sayaca;A;I;18/03/2024;;
D;177092;Basileuterus culicivorus;D;I;18/03/2024;;
G;139277;Tangara ornata;J;I;18/03/2024;;
E;192977;Haplospiza unicolor;J;M;18/03/2024;;
E;192978;Haplospiza unicolor;A;M;18/03/2024;;
D;177093;Basileuterus culicivorus;J;I;18/03/2024;;
H;141220;Pitangus sulphuratus;J;I;18/03/2024;;
H;141222;Furnarius rufus;A;I;18/03/2024;;
H;141223;Turdus rufiventris;J;I;18/03/2024;;
E;192979;Haplospiza unicolor;J;F;18/03/2024;;
D;177095;Basileuterus culicivorus;A;I;18/03/2024;;
E;192980;Basileuterus leucoblepharus;J;I;18/03/2024;;
D;177096;Neopelma chrysolophum;A;I;18/03/2024;;
E;192981;Haplospiza unicolor;J;I;18/03/2024;;
E;192951;Basileuterus leucoblepharus;D;I;18/03/2024;;
E;192982;Drymophila malura;A;M;18/03/2024;;
E;192952;Neopelma chrysolophum;D;I;18/03/2024;;
E;192983;Haplospiza unicolor;A;M;18/03/2024;;
E;192954;Synallaxis ruficapilla;J;I;18/03/2024;;
E;192984;Haplospiza unicolor;A;M;18/03/2024;;
E;192955;Tangara desmaresti;A;F;18/03/2024;;
F;87451;Chiroxiphia caudata;A;F;18/03/2024;;
F;87473;Thamnophilus caerulescens;J;F;18/03/2024;;
F;87452;Lanio melanops;J;F;18/03/2024;;
G;139286;Saltator similis;J;I;18/03/2024;;
F;87453;Synallaxis ruficapilla;D;I;18/03/2024;;
F;87454;Thamnophilus caerulescens;A;F;18/03/2024;;
H;141201;Turdus flavipes;J;I;18/03/2024;;
D;177074;Basileuterus culicivorus;J;I;18/03/2024;;
D;177073;Basileuterus culicivorus;J;I;18/03/2024;;
D;177072;Basileuterus culicivorus;J;I;18/03/2024;;
E;193000;Conopophaga lineata;A;F;18/03/2024;;
E;192999;Conopophaga lineata;A;M;18/03/2024;;
E;192998;Chiroxiphia caudata;A;M;18/03/2024;;
E;192997;Basileuterus leucoblepharus;J;I;18/03/2024;;
E;192996;Lanio melanops;A;M;18/03/2024;;
E;192995;Basileuterus leucoblepharus;J;I;18/03/2024;;
E;192994;Basileuterus leucoblepharus;J;I;18/03/2024;;
E;192993;Basileuterus leucoblepharus;J;I;18/03/2024;;
E;192992;Thamnophilus caerulescens;J;M;18/03/2024;;
F;87500;Lanio melanops;J;M;18/03/2024;;
F;87499;Lanio melanops;J;I;18/03/2024;;
H;141234;Turdus flavipes;J;M;18/03/2024;;
C;93251;Neopelma chrysolophum;J;I;19/03/2024;;
D;77781;Basileuterus leucoblepharus;A;I;19/03/2024;;
C;93252;Leptopogon amaurocephalus;J;I;19/03/2024;;
C;93253;Mionectes rufiventris;J;I;19/03/2024;;
D;77782;Basileuterus leucoblepharus;J;I;19/03/2024;;
E;189260;Basileuterus leucoblepharus;J;I;19/03/2024;;
C;93254;Basileuterus culicivorus;D;NA;19/03/2024;;
C;93255;Basileuterus culicivorus;A;I;19/03/2024;;
E;189259;Neopelma chrysolophum;A;I;19/03/2024;;
E;189258;Conopophaga lineata;A;M;19/03/2024;;
G;139272;Pitangus sulphuratus;A;I;19/03/2024;;
E;192991;Sicalis flaveola;A;F;19/03/2024;;
D;77784;Basileuterus leucoblepharus;A;I;19/03/2024;;
G;139271;Pitangus sulphuratus;J;I;19/03/2024;;
E;189257;Neopelma chrysolophum;J;I;19/03/2024;;
F;87498;Sicalis flaveola;J;I;19/03/2024;;
E;187694;Basileuterus leucoblepharus;J;I;19/03/2024;;
G;139270;Pitangus sulphuratus;J;I;19/03/2024;;
F;87497;Sicalis flaveola;J;I;19/03/2024;;
E;189256;Basileuterus culicivorus;J;I;19/03/2024;;
F;87496;Sicalis flaveola;A;M;19/03/2024;;
E;187695;Basileuterus leucoblepharus;J;I;19/03/2024;;
F;87495;Sicalis flaveola;A;M;19/03/2024;;
D;177097;Neopelma chrysolophum;J;I;19/03/2024;;
E;189255;Neopelma chrysolophum;A;I;19/03/2024;;
F;87494;Zonotrichia capensis;A;M;19/03/2024;;
F;87455;Chiroxiphia caudata;J;M;19/03/2024;;
E;187696;Basileuterus leucoblepharus;A;I;19/03/2024;;
F;87493;Zonotrichia capensis;J;I;19/03/2024;;
D;177070;Sporophila caerulescens;J;I;19/03/2024;;
E;192956;Synallaxis ruficapilla;J;I;19/03/2024;;
D;77785;Xenops rutilans;J;I;19/03/2024;;
E;187697;Pipraeidea melanonota;J;I;19/03/2024;;
G;139251;Pyriglena leucoptera;A;M;19/03/2024;;
E;189254;Synallaxis ruficapilla;J;I;19/03/2024;;
D;177069;Basileuterus culicivorus;J;I;19/03/2024;;
F;87492;Myiozetetes similis;J;I;19/03/2024;;
E;187698;Chiroxiphia caudata;A;F;19/03/2024;;
E;192957;Haplospiza unicolor;J;F;19/03/2024;;
P;16211;Rupornis magnirostris;A;I;19/03/2024;;
E;187699;Chiroxiphia caudata;J;F;19/03/2024;;
H;141232;Turdus rufiventris;A;I;19/03/2024;;
E;187700;Basileuterus leucoblepharus;A;I;19/03/2024;;
E;192958;Haplospiza unicolor;J;I;19/03/2024;;
H;141231;Turdus rufiventris;J;I;19/03/2024;;
E;192959;Haplospiza unicolor;J;M;19/03/2024;;
H;141230;Turdus leucomelas;J;I;19/03/2024;;
E;171417;Poospiza lateralis;A;I;19/03/2024;;
E;192960;Haplospiza unicolor;J;F;19/03/2024;;
E;171416;Conopophaga lineata;J;I;19/03/2024;;
E;192961;Neopelma chrysolophum;A;I;19/03/2024;;
D;177057;Mionectes rufiventris;J;I;19/03/2024;;
D;177058;Mionectes rufiventris;J;I;19/03/2024;;
E;192962;Basileuterus culicivorus;A;I;19/03/2024;;
E;192963;Basileuterus leucoblepharus;J;I;19/03/2024;;
E;192964;Haplospiza unicolor;J;M;19/03/2024;;
G;55683;Saltator similis;A;F;19/03/2024;;
H;143424;Turdus rufiventris;A;I;19/03/2024;;
D;177059;Mionectes rufiventris;J;I;19/03/2024;;
D;177060;Basileuterus culicivorus;J;I;19/03/2024;;
D;177061;Basileuterus culicivorus;A;I;19/03/2024;;
D;177062;Basileuterus culicivorus;J;I;19/03/2024;;
D;77783;Synallaxis ruficapilla;J;I;19/03/2024;;
E;192907;Haplospiza unicolor;A;F;20/03/2024;;
D;177098;Basileuterus culicivorus;D;I;20/03/2024;;
C;124799;Myiobius atricaudus;J;I;20/03/2024;;
D;177068;Basileuterus culicivorus;J;I;20/03/2024;;
C;124705;Platyrinchus mystaceus;A;M;20/03/2024;;
E;192902;Basileuterus leucoblepharus;A;I;20/03/2024;;
D;177067;Tolmomyias sulphurescens;J;I;20/03/2024;;
E;192903;Basileuterus leucoblepharus;A;I;20/03/2024;;
D;177040;Synallaxis ruficapilla;J;I;20/03/2024;;
C;124706;Platyrinchus mystaceus;J;M;20/03/2024;;
D;177041;Basileuterus culicivorus;A;I;20/03/2024;;
E;192904;Corythopis delalandi;J;I;20/03/2024;;
E;192990;Basileuterus leucoblepharus;J;I;20/03/2024;;
D;177001;Basileuterus culicivorus;J;I;20/03/2024;;
E;192905;Elaenia mesoleuca;J;I;20/03/2024;;
D;77786;Sporophila caerulescens;A;F;20/03/2024;;
E;192989;Haplospiza unicolor;J;M;20/03/2024;;
D;77787;Ilicura militaris;J;I;20/03/2024;;
E;192906;Haplospiza unicolor;J;F;20/03/2024;;
D;177063;Neopelma chrysocephalum;A;I;20/03/2024;;
G;139252;Pyriglena leucoptera;J;M;20/03/2024;;
D;77788;Synallaxis spixi;J;I;20/03/2024;;
E;192937;Chiroxiphia caudata;J;M;20/03/2024;;
H;141202;Turdus leucomelas;J;I;20/03/2024;;
E;192938;Conopophaga lineata;J;I;20/03/2024;;
D;177064;Basileuterus leucoblepharus;A;I;20/03/2024;;
H;141203;Turdus albicollis;J;I;20/03/2024;;
E;192939;Lanio melanops;J;M;20/03/2024;;
E;171418;Myiozetetes similis;J;I;20/03/2024;;
E;171419;Thamnophilus caerulescens;A;F;20/03/2024;;
H;141204;Saltator similis;J;I;20/03/2024;;
G;139261;Saltator similis;J;I;20/03/2024;;
F;87456;Chiroxiphia caudata;J;F;20/03/2024;;
G;139269;Tachyphonus coronatus;J;I;20/03/2024;;
F;87457;Chiroxiphia caudata;J;F;20/03/2024;;
D;177066;Neopelma chrysolophum;A;I;20/03/2024;;
E;189253;Thamnophilus caerulescens;J;F;20/03/2024;;
E;189252;Basileuterus leucoblepharus;J;I;20/03/2024;;
F;87474;Lanio melanops;J;F;20/03/2024;;
F;87475;Lochmias nematura;J;I;20/03/2024;;
F;87476;Lochmias nematura;J;I;20/03/2024;;
D;177082;Basileuterus leucoblepharus;J;I;20/03/2024;;
E;192970;Haplospiza unicolor;J;I;20/03/2024;;
E;192969;Haplospiza unicolor;J;F;20/03/2024;;
E;192971;Haplospiza unicolor;A;F;20/03/2024;;
E;192972;Haplospiza unicolor;A;M;20/03/2024;;
