"bandNumber","captures"
"2D1234","0"
"2D1235","0"
"C62647","1"
"C62648","1"
"C62649","1"
"C62650","1"
"C70230","6"
"C70231","3"
"C70232","1"
"C70233","1"
"C70234","1"
"C70239","1"
"C70235","1"
"C70236","4"
"C70237","1"
"C70238","1"
"C70240","2"
"C70241","1"
"C70242","2"
"C70243","2"
"C70244","1"
"C70245","4"
"C70246","3"
"C70247","1"
"C70248","1"
"C70249","2"
"C70250","2"
"C75184","1"
"C75185","1"
"C75186","1"
"C75191","1"
"C75187","1"
"C75189","1"
"C75188","1"
"C75190","4"
"C75192","4"
"C75193","2"
"C75194","1"
"C75195","2"
"C75197","1"
"C75196","2"
"C75198","1"
"C75199","1"
"C75200","1"
"C84777","1"
"C84778","1"
"C84779","1"
"C84780","1"
"C84782","1"
"C84781","1"
"C84785","1"
"C84783","1"
"C84784","1"
"C84786","1"
"C84788","1"
"C84787","1"
"C84789","3"
"C84790","1"
"C97777","1"
"C97778","10"
"C97779","3"
"C97780","3"
"C97785","1"
"C97781","5"
"C97782","1"
"C97783","6"
"C97784","1"
"C97786","1"
"C97787","1"
"C97788","2"
"C97790","1"
"C97791","1"
"C97789","3"
"C97792","1"
"C97794","1"
"C97793","1"
"C97796","2"
"C97795","1"
"C97797","1"
"C97799","1"
"C97800","5"
"C97798","1"
"C103231","1"
"C103232","1"
"C103233","1"
"C103238","2"
"C103234","2"
"C103235","1"
"C103236","2"
"C103237","4"
"C103239","11"
"C103240","25"
"C103241","5"
"C103244","1"
"C103242","3"
"C103243","15"
"C103245","7"
"C103246","1"
"C103247","1"
"C103248","1"
"C103249","1"
"C103250","1"
"D100851","1"
"D100852","1"
"D100853","1"
"D100855","4"
"D100856","1"
"D100857","3"
"D100862","1"
"D100858","6"
"D100860","1"
"D100859","1"
"D100861","1"
"D100863","2"
"D100864","1"
"D100865","1"
"D100867","1"
"D100866","2"
"D100868","1"
"D100869","3"
"D100870","2"
"D100871","2"
"D100872","2"
"D100873","1"
"D100874","1"
"D100875","1"
"D103274","5"
"D128369","2"
"D128370","1"
"D128371","2"
"D128376","1"
"D128372","2"
"D128373","1"
"D128374","1"
"D128375","1"
"D128377","1"
"D128378","1"
"D128379","1"
"D128382","1"
"D128380","1"
"D128381","2"
"D133872","1"
"D133873","1"
"D133874","1"
"D133879","2"
"D133875","1"
"D133876","1"
"D133877","1"
"D133878","1"
"D133880","2"
"D133881","2"
"D133885","1"
"D133882","2"
"D133883","1"
"D133884","1"
"D133886","1"
"D133887","1"
"D133890","6"
"D133888","1"
"D133889","1"
"D133891","3"
"D133892","1"
"D133893","12"
"D133894","1"
"D133895","6"
"D133896","6"
"D133897","6"
"D133898","1"
"D133899","6"
"D133900","1"
"D156570","0"
"D156571","1"
"D156572","1"
"D156573","1"
"D156578","1"
"D156574","1"
"D156575","1"
"D156576","1"
"D156577","1"
"D156579","1"
"D156580","1"
"D156582","1"
"D156581","1"
"D156583","1"
"D156584","2"
"D156585","4"
"D156586","6"
"D156587","3"
"D156588","4"
"D156589","2"
"D156590","2"
"D156591","1"
"D156592","5"
"D156593","3"
"D156594","2"
"D156595","1"
"D156596","1"
"D156597","6"
"D156598","1"
"D156599","2"
"D156600","4"
"D172188","1"
"E114843","7"
"E114844","2"
"E114845","2"
"E114848","5"
"E114847","1"
"E114846","2"
"E114849","1"
"E114850","2"
"E163178","1"
"E163179","1"
"E163180","1"
"E163181","2"
"E163183","3"
"E163184","3"
"E163185","1"
"E163186","1"
"E163187","1"
"E163188","1"
"E163189","1"
"E163182","1"
"E163190","1"
"E163191","1"
"E163192","1"
"E163193","1"
"E163194","1"
"E163195","1"
"E163196","1"
"E163197","1"
"E163198","1"
"E163199","1"
"E163200","2"
"E163949","1"
"E163950","2"
"E163958","3"
"E163959","1"
"E163960","1"
"E163961","1"
"E163962","1"
"E163965","1"
"E163963","2"
"E163964","12"
"E163966","2"
"E163967","1"
"E163968","1"
"E163969","12"
"E163970","2"
"E163971","3"
"E163972","1"
"E163973","1"
"E163974","1"
"E168651","1"
"E168652","4"
"E168653","1"
"E168654","1"
"E168657","1"
"E168655","1"
"E168656","1"
"E168658","1"
"E168659","1"
"E168660","1"
"E168661","1"
"E168663","1"
"E168662","1"
"E168664","1"
"E168665","1"
"E168667","1"
"E168666","1"
