"captureId","station","data","netNumber","captureTime","bander","captureCode","bandSize","bandNumber","sppCode","sppName","notes","brood_patch_OAMa","cloacal_protuberance_OAMa","body_molt_OAMa","fat_OAMa","juvenal_feather_OAMa","pp_wear_OAMa","skull_OAMa","molt_limit_OAMa","age_wrp","age_criteria","sex","sex_criteria","flight_feather_molt_OAMa","status","wing_chord","weight_grams","bill_estriation","age_criteria_2","tail_length","r2_length","molt_description","molt_limit_OAMa_2","sex_criteria_2","tail_shape","iris_color","crown_size","tarsus","nares_to_tip","iris_color_2","crown_color","molt_description_2","previr_number","total_length","previr_number_2","lower_mandibule_color","sex_criteria_3","total_length_2","age_criteria_3","r2_length_2","bill_width","old_bandnumber","color_band","band_code","crown_color_2","molt_limit_OAMa_3","bill_estriation_2","iris_color_3","tail_length_2","tick_sample","tick_sample_2","color_band_2","r1_length","wing_chord_2","weight_grams_2","nares_to_tip_2","tarsus_2","wing_chord_3","weight_grams_3","tail_length_3","nares_to_tip_3","tarsus_3","molt_description_3","crown_color_3","bill_interior_color","bill_interior_color_2","bill_interior_color_3","crown_size_2","crown_size_3","r2_length_3","upper_mandibule_color","upper_mandibule_color_2","lower_mandibule_color_2","upper_mandibule_color_3","lower_mandibule_color_3","tick_sample_3","bill_width_2","bill_width_3","white_on_s5","white_on_s5_2","white_on_s5_3","pox_presence","r5_length","p10-ppcov","exposed_culmen"
"1","LIA1","2020-10-03","10","072","PVM","U","U","9999","BASCUL","Basileuterus culicivorus","Escapou na mesa","NA","NA","NA","NA","NA","NA","NA","NA","UCU","U","U","U","NA","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","LIA1","2020-10-03","2","082","PVM","U","U","9999","THAGLA","Thalurania glaucopis","","0","0","0","0","U","1","NA","N","MFCF","B","M","P","0","N","63","4.9","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","LIA1","2020-10-03","4","085","PVM","U","U","9999","THAGLA","Thalurania glaucopis","","0","0","1","0","U","1","NA","N","MFCF","B","M","P","0","N","59","NA","40","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","LIA1","2020-10-03","10","092","PVM","U","U","9999","RAMNAE","Ramphodon naevius","","0","0","0","0","0","0","NA","N","MFCF","B","U","U","0","N","65","7.6","0","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","LIA7","2020-10-04","3","063","PVM","U","U","9999","RAMNAE","Ramphodon naevius","","1","0","0","0","0","1","NA","N","MFCF","B","U","U","0","N","78","NA","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","LIA7","2020-10-04","5","063","PVM","U","U","9999","THAGLA","Thalurania glaucopis","","4","0","0","0","0","1","NA","N","MFCF","B","F","P","0","N","56","NA","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","LIA7","2020-10-04","1","072","PVM","U","U","9999","FLOFUS","Florisuga fusca","","0","0","0","0","U","0","NA","N","FCU","B","U","U","0","N","NA","NA","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","LIA5","2020-10-05","9","071","PVM","U","U","9999","HELRUB","Heliodoxa rubricauda","","0","0","2","0","0","1","NA","N","DPB","B","M","P","0","N","77","NA","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","LIA5","2020-10-05","6","074","PVM","U","U","9999","HELRUB","Heliodoxa rubricauda","","0","0","2","0","1","1","NA","N","FPF","B","U","U","0","N","64","NA","10","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","LIA5","2020-10-05","9","074","PVM","U","U","9999","THAGLA","Thalurania glaucopis","","0","0","0","0","1","1","NA","N","FCF","B","M","P","0","N","61","4.9","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","LIA5","2020-10-05","9","074","PVM","U","U","9999","MIORUF","Mionectes rufiventris","individuo estressado, liberado para evitar complicações, voou bem","NA","NA","NA","NA","NA","NA","NA","NA","UCU","U","U","U","NA","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","LIA5","2020-10-05","1","081","PVM","U","U","9999","HELRUB","Heliodoxa rubricauda","","0","0","0","0","1","2","NA","N","MFCF","B","M","P","0","N","73","NA","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","LIA5","2020-10-05","2","081","PVM","U","U","9999","HELRUB","Heliodoxa rubricauda","","0","0","2","0","1","2","NA","N","MFPF","B","F","P","0","N","65","NA","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","LIA5","2020-10-05","3","081","PVM","U","U","9999","PHAEUR","Phaethornis eurynome","","0","0","0","0","1","0","NA","N","FCU","B","U","U","0","X","62","NA","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","LIA5","2020-10-05","3","081","PVM","U","U","9999","HELRUB","Heliodoxa rubricauda","","0","0","2","0","0","1","NA","N","FCU","B","M","P","0","N","NA","NA","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","LIA5","2020-10-05","4","094","PVM","U","U","9999","HELRUB","Heliodoxa rubricauda","","0","0","0","0","0","1","NA","N","FCU","B","M","P","0","N","NA","NA","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","LIA5","2020-10-05","1","101","PVM","U","U","9999","FLOFUS","Florisuga fusca","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","U","U","NA","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","LIA5","2020-10-05","2","103","PVM","U","U","9999","HELRUB","Heliodoxa rubricauda","","0","0","2","0","1","1","NA","N","MFCF","B","M","P","0","N","72","NA","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","LIA2","2020-10-07","3","070","PVM","U","U","9999","RAMNAE","Ramphodon naevius","","0","0","0","0","0","1","NA","N","MFCF","B","U","U","0","N","72","NA","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","LIA2","2020-10-07","3","070","PVM","U","U","9999","RAMNAE","Ramphodon naevius","escapou","0","0","0","0","NA","NA","NA","NA","MFCF","B","U","U","0","N","NA","NA","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","LIA2","2020-10-07","3","083","PVM","U","U","9999","DRYOCH","Drymophila ochropyga","individuo com a perna quebrada, escapou durante os primeiros socorros","NA","NA","NA","NA","NA","NA","NA","NA","MFCF","P","U","U","NA","M","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","LIA2","2020-10-07","5","091","PVM","U","U","9999","PHASQU","Phaethornis squalidus","","0","0","0","0","0","1","NA","N","MFCF","B","U","U","1","N","44","3.3","0","","48","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","LIA2","2020-10-07","9","091","PVM","U","U","9999","RAMNAE","Ramphodon naevius","","0","0","0","0","0","1","NA","N","MFCF","B","U","U","0","N","70","NA","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","LIA2","2020-10-07","5","101","PVM","U","U","9999","PHAEUR","Phaethornis eurynome","","0","0","0","0","0","1","NA","N","MFCF","B","U","U","0","N","59","NA","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","LIA8","2020-10-08","1","063","PVM","U","U","9999","EUPMAC","Eupetomena macroura","","0","0","0","0","0","0","NA","N","MFCF","B","U","U","1","N","NA","NA","0","","","","SD4C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","LIA5","2020-10-05","1","101","PVM","U","U","9999","FLOFUS","Florisuga fusca","bochecha avermelhada","0","0","0","0","0","1","NA","N","MFCF","B","U","U","0","N","NA","NA","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","LIA5","2020-10-05","2","081","PVM","U","U","9999","HELRUB","Heliodoxa rubricauda","","0","0","1","0","1","2","NA","N","FCU","B","M","P","0","N","74","NA","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","LIA3","2020-10-09","4","075","PVM","U","U","9999","PLAMYS","Platyrinchus mystaceus","liberado na rede","NA","NA","NA","NA","NA","NA","NA","NA","MFCF","P","M","P","NA","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","LIA3","2020-10-09","10","073","PVM","U","U","9999","RAMNAE","Ramphodon naevius","liberado na rede","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","U","U","NA","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
