size,number,distribution,band_number,reported,changed_by,changedDate
D,172188,19/09/2019,D172188,,SNA,19/2/2024
F,51591,19/09/2019,F51591,,SNA,19/2/2024
F,20847,19/09/2019,F20847,,SNA,19/2/2024
D,103274,19/09/2019,D103274,R,SNA,19/2/2024
F,07423,19/09/2019,F07423,,SNA,19/2/2024
F,38190,26/10/2022,F38190,R,SNA,19/2/2024
E,163949,19/09/2019,E163949,R,SNA,19/2/2024
E,163950,19/09/2019,E163950,R,SNA,19/2/2024
F,15570,19/09/2019,F15570,,SNA,19/2/2024
F,15571,19/09/2019,F15571,,SNA,19/2/2024
J,49038,27/06/2023,J49038,,SNA,19/2/2024
D,77761,27/06/2023,D77761,,SNA,19/2/2024
F,64749,27/06/2023,F64749,,SNA,19/2/2024
J,49037,27/06/2023,J49037,,SNA,19/2/2024
D,77760,27/06/2023,D77760,,SNA,19/2/2024
F,64748,27/06/2023,F64748,,SNA,19/2/2024
G,67542,19/09/2019,G67542,,SNA,19/2/2024
G,67543,19/09/2019,G67543,,SNA,19/2/2024
G,67544,19/09/2019,G67544,,SNA,19/2/2024
G,67545,19/09/2019,G67545,,SNA,19/2/2024
G,67546,19/09/2019,G67546,,SNA,19/2/2024
G,67547,19/09/2019,G67547,,SNA,19/2/2024
G,67548,19/09/2019,G67548,,SNA,19/2/2024
G,67549,19/09/2019,G67549,,SNA,19/2/2024
G,67550,19/09/2019,G67550,,SNA,19/2/2024
G,67551,19/09/2019,G67551,,SNA,19/2/2024
G,67552,19/09/2019,G67552,,SNA,19/2/2024
G,67553,19/09/2019,G67553,,SNA,19/2/2024
G,67554,19/09/2019,G67554,,SNA,19/2/2024
G,67555,19/09/2019,G67555,,SNA,19/2/2024
G,67556,19/09/2019,G67556,,SNA,19/2/2024
G,67557,19/09/2019,G67557,,SNA,19/2/2024
G,67558,19/09/2019,G67558,,SNA,19/2/2024
G,67559,19/09/2019,G67559,,SNA,19/2/2024
G,67560,19/09/2019,G67560,,SNA,19/2/2024
G,67561,19/09/2019,G67561,,SNA,19/2/2024
G,67562,19/09/2019,G67562,,SNA,19/2/2024
G,67563,19/09/2019,G67563,,SNA,19/2/2024
G,67564,19/09/2019,G67564,,SNA,19/2/2024
G,67565,19/09/2019,G67565,,SNA,19/2/2024
G,67566,19/09/2019,G67566,,SNA,19/2/2024
G,67567,19/09/2019,G67567,,SNA,19/2/2024
G,67568,19/09/2019,G67568,,SNA,19/2/2024
D,132374,15/05/2020,D132374,R,SNA,19/2/2024
D,132375,15/05/2020,D132375,,SNA,19/2/2024
D,132376,15/05/2020,D132376,R,SNA,19/2/2024
D,132377,15/05/2020,D132377,R,SNA,19/2/2024
D,132378,15/05/2020,D132378,R,SNA,19/2/2024
D,132379,15/05/2020,D132379,R,SNA,19/2/2024
D,132380,15/05/2020,D132380,R,SNA,19/2/2024
D,132381,15/05/2020,D132381,R,SNA,19/2/2024
D,132382,15/05/2020,D132382,R,SNA,19/2/2024
D,132383,15/05/2020,D132383,R,SNA,19/2/2024
D,132384,15/05/2020,D132384,R,SNA,19/2/2024
D,132385,15/05/2020,D132385,R,SNA,19/2/2024
D,132386,15/05/2020,D132386,R,SNA,19/2/2024
D,132387,15/05/2020,D132387,R,SNA,19/2/2024
D,132388,15/05/2020,D132388,R,SNA,19/2/2024
D,132389,15/05/2020,D132389,R,SNA,19/2/2024
D,132390,15/05/2020,D132390,R,SNA,19/2/2024
D,132391,15/05/2020,D132391,R,SNA,19/2/2024
D,132392,15/05/2020,D132392,R,SNA,19/2/2024
D,132393,15/05/2020,D132393,R,SNA,19/2/2024
D,132394,15/05/2020,D132394,R,SNA,19/2/2024
D,132395,15/05/2020,D132395,,SNA,19/2/2024
D,132396,15/05/2020,D132396,R,SNA,19/2/2024
D,132397,15/05/2020,D132397,R,SNA,19/2/2024
D,132398,15/05/2020,D132398,R,SNA,19/2/2024
D,132399,15/05/2020,D132399,R,SNA,19/2/2024
D,132400,15/05/2020,D132400,R,SNA,19/2/2024
D,100851,19/09/2019,D100851,,SNA,19/2/2024
D,100852,19/09/2019,D100852,,SNA,19/2/2024
D,100853,19/09/2019,D100853,,SNA,19/2/2024
C,62647,19/09/2019,C62647,R,SNA,19/2/2024
C,62648,19/09/2019,C62648,R,SNA,19/2/2024
C,62649,19/09/2019,C62649,R,SNA,19/2/2024
C,62650,19/09/2019,C62650,R,SNA,19/2/2024
E,114843,19/09/2019,E114843,R,SNA,19/2/2024
E,114844,19/09/2019,E114844,R,SNA,19/2/2024
E,114845,19/09/2019,E114845,R,SNA,19/2/2024
E,114846,19/09/2019,E114846,R,SNA,19/2/2024
E,114847,19/09/2019,E114847,R,SNA,19/2/2024
E,114848,19/09/2019,E114848,R,SNA,19/2/2024
E,114849,19/09/2019,E114849,R,SNA,19/2/2024
E,114850,19/09/2019,E114850,R,SNA,19/2/2024
F,04574,19/09/2019,F04574,R,SNA,19/2/2024
F,04575,19/09/2019,F04575,R,SNA,19/2/2024
F,04576,19/09/2019,F04576,R,SNA,19/2/2024
F,04577,19/09/2019,F04577,R,SNA,19/2/2024
F,04578,19/09/2019,F04578,R,SNA,19/2/2024
F,04579,19/09/2019,F04579,R,SNA,19/2/2024
F,04580,19/09/2019,F04580,R,SNA,19/2/2024
F,04581,19/09/2019,F04581,R,SNA,19/2/2024
E,110840,26/10/2022,E110840,,SNA,19/2/2024
E,110841,26/10/2022,E110841,,SNA,19/2/2024
E,110842,26/10/2022,E110842,,SNA,19/2/2024
G,134868,19/05/2022,G134868,,SNA,19/2/2024
G,134869,19/05/2022,G134869,,SNA,19/2/2024
G,134870,19/05/2022,G134870,,SNA,19/2/2024
G,134871,19/05/2022,G134871,,SNA,19/2/2024
G,134872,19/05/2022,G134872,,SNA,19/2/2024
G,134873,19/05/2022,G134873,,SNA,19/2/2024
G,134874,19/05/2022,G134874,,SNA,19/2/2024
G,134875,19/05/2022,G134875,,SNA,19/2/2024
G,134876,19/05/2022,G134876,,SNA,19/2/2024
G,134877,19/05/2022,G134877,,SNA,19/2/2024
G,134878,19/05/2022,G134878,,SNA,19/2/2024
G,134879,19/05/2022,G134879,,SNA,19/2/2024
G,134880,19/05/2022,G134880,,SNA,19/2/2024
G,134881,19/05/2022,G134881,,SNA,19/2/2024
G,134882,19/05/2022,G134882,,SNA,19/2/2024
G,134883,19/05/2022,G134883,,SNA,19/2/2024
G,134884,19/05/2022,G134884,,SNA,19/2/2024
G,134885,19/05/2022,G134885,,SNA,19/2/2024
G,134886,19/05/2022,G134886,,SNA,19/2/2024
G,134887,19/05/2022,G134887,,SNA,19/2/2024
G,134888,19/05/2022,G134888,,SNA,19/2/2024
G,134889,19/05/2022,G134889,,SNA,19/2/2024
G,134890,19/05/2022,G134890,,SNA,19/2/2024
G,134891,19/05/2022,G134891,,SNA,19/2/2024
G,134892,19/05/2022,G134892,,SNA,19/2/2024
G,134893,19/05/2022,G134893,,SNA,19/2/2024
G,134894,19/05/2022,G134894,,SNA,19/2/2024
G,134895,19/05/2022,G134895,,SNA,19/2/2024
H,118074,15/05/2020,H118074,R,SNA,19/2/2024
H,118075,15/05/2020,H118075,R,SNA,19/2/2024
H,118076,15/05/2020,H118076,R,SNA,19/2/2024
H,118077,15/05/2020,H118077,R,SNA,19/2/2024
H,118078,15/05/2020,H118078,R,SNA,19/2/2024
H,118079,15/05/2020,H118079,R,SNA,19/2/2024
H,118080,15/05/2020,H118080,R,SNA,19/2/2024
H,118081,15/05/2020,H118081,R,SNA,19/2/2024
H,118082,15/05/2020,H118082,R,SNA,19/2/2024
H,118083,15/05/2020,H118083,R,SNA,19/2/2024
H,118084,15/05/2020,H118084,R,SNA,19/2/2024
H,118085,15/05/2020,H118085,R,SNA,19/2/2024
H,118086,15/05/2020,H118086,R,SNA,19/2/2024
H,118087,15/05/2020,H118087,R,SNA,19/2/2024
H,118088,15/05/2020,H118088,R,SNA,19/2/2024
H,118089,15/05/2020,H118089,R,SNA,19/2/2024
H,118090,15/05/2020,H118090,R,SNA,19/2/2024
H,118091,15/05/2020,H118091,R,SNA,19/2/2024
H,118092,15/05/2020,H118092,R,SNA,19/2/2024
H,118093,15/05/2020,H118093,R,SNA,19/2/2024
H,118094,15/05/2020,H118094,R,SNA,19/2/2024
H,118095,15/05/2020,H118095,R,SNA,19/2/2024
H,118096,15/05/2020,H118096,R,SNA,19/2/2024
H,118097,15/05/2020,H118097,R,SNA,19/2/2024
H,118098,15/05/2020,H118098,R,SNA,19/2/2024
H,118099,15/05/2020,H118099,R,SNA,19/2/2024
D,133872,19/09/2019,D133872,R,SNA,19/2/2024
D,133873,19/09/2019,D133873,R,SNA,19/2/2024
D,133874,19/09/2019,D133874,R,SNA,19/2/2024
D,133875,19/09/2019,D133875,R,SNA,19/2/2024
D,133876,19/09/2019,D133876,R,SNA,19/2/2024
D,133877,19/09/2019,D133877,R,SNA,19/2/2024
D,133878,19/09/2019,D133878,R,SNA,19/2/2024
D,133879,19/09/2019,D133879,R,SNA,19/2/2024
D,133880,19/09/2019,D133880,R,SNA,19/2/2024
D,133881,19/09/2019,D133881,R,SNA,19/2/2024
D,133882,19/09/2019,D133882,R,SNA,19/2/2024
D,133883,19/09/2019,D133883,R,SNA,19/2/2024
D,133884,19/09/2019,D133884,R,SNA,19/2/2024
D,133885,19/09/2019,D133885,R,SNA,19/2/2024
D,133886,19/09/2019,D133886,R,SNA,19/2/2024
D,133887,19/09/2019,D133887,R,SNA,19/2/2024
D,133888,19/09/2019,D133888,R,SNA,19/2/2024
D,133889,19/09/2019,D133889,R,SNA,19/2/2024
D,133890,19/09/2019,D133890,R,SNA,19/2/2024
D,133891,19/09/2019,D133891,R,SNA,19/2/2024
D,133892,19/09/2019,D133892,R,SNA,19/2/2024
D,133893,19/09/2019,D133893,R,SNA,19/2/2024
D,133894,19/09/2019,D133894,R,SNA,19/2/2024
D,133895,19/09/2019,D133895,R,SNA,19/2/2024
D,133896,19/09/2019,D133896,R,SNA,19/2/2024
D,133897,19/09/2019,D133897,R,SNA,19/2/2024
D,133898,19/09/2019,D133898,R,SNA,19/2/2024
D,133899,19/09/2019,D133899,R,SNA,19/2/2024
D,133900,19/09/2019,D133900,R,SNA,19/2/2024
H,98035,19/05/2022,H98035,,SNA,19/2/2024
H,98036,19/05/2022,H98036,,SNA,19/2/2024
H,98037,19/05/2022,H98037,,SNA,19/2/2024
H,98038,19/05/2022,H98038,,SNA,19/2/2024
H,98039,19/05/2022,H98039,,SNA,19/2/2024
H,98040,19/05/2022,H98040,,SNA,19/2/2024
H,98041,19/05/2022,H98041,,SNA,19/2/2024
H,98042,19/05/2022,H98042,,SNA,19/2/2024
H,98043,19/05/2022,H98043,,SNA,19/2/2024
H,98044,19/05/2022,H98044,,SNA,19/2/2024
H,98045,19/05/2022,H98045,,SNA,19/2/2024
H,98046,19/05/2022,H98046,,SNA,19/2/2024
H,98047,19/05/2022,H98047,,SNA,19/2/2024
H,98048,19/05/2022,H98048,,SNA,19/2/2024
H,98049,19/05/2022,H98049,,SNA,19/2/2024
H,98050,19/05/2022,H98050,,SNA,19/2/2024
F,38193,26/10/2022,F38193,R,SNA,19/2/2024
F,38194,26/10/2022,F38194,R,SNA,19/2/2024
F,38195,26/10/2022,F38195,R,SNA,19/2/2024
F,38196,26/10/2022,F38196,R,SNA,19/2/2024
F,38197,26/10/2022,F38197,R,SNA,19/2/2024
F,38198,26/10/2022,F38198,R,SNA,19/2/2024
F,38199,26/10/2022,F38199,R,SNA,19/2/2024
F,38200,26/10/2022,F38200,R,SNA,19/2/2024
F,64741,27/06/2023,F64741,,SNA,19/2/2024
F,64742,27/06/2023,F64742,,SNA,19/2/2024
F,64743,27/06/2023,F64743,,SNA,19/2/2024
F,64744,27/06/2023,F64744,,SNA,19/2/2024
F,64745,27/06/2023,F64745,,SNA,19/2/2024
F,64746,27/06/2023,F64746,,SNA,19/2/2024
C,75184,19/09/2019,C75184,R,SNA,19/2/2024
C,75185,19/09/2019,C75185,R,SNA,19/2/2024
C,75186,19/09/2019,C75186,R,SNA,19/2/2024
C,75187,19/09/2019,C75187,R,SNA,19/2/2024
